[2026-04-30 22:16:50] [INFO    ] [utils.gui] Démarrage de l'interface graphique ReactorGUI.
[2026-04-30 22:16:56] [DEBUG   ] [physics.geometry] Initialisation ReactorGeometry : R_n=12.0, R_hex=2.0
[2026-04-30 22:17:06] [DEBUG   ] [physics.geometry] Initialisation ReactorGeometry : R_n=12.0, R_hex=2.0
[2026-04-30 22:17:11] [DEBUG   ] [physics.geometry] Initialisation ReactorGeometry : R_n=12.0, R_hex=2.0
[2026-04-30 22:17:11] [INFO    ] [utils.gui] Début de la génération automatique (Gmsh) : /home/Bud0x/Documents/bachinge/BAC3/LEPL1110/project/Projet_ef/output/meshes/reactor_Rn12.0_Rhex2.0_20260430_221711.msh
[2026-04-30 22:17:11] [INFO    ] [physics.geometry] Début de la génération du maillage : /home/Bud0x/Documents/bachinge/BAC3/LEPL1110/project/Projet_ef/output/meshes/reactor_Rn12.0_Rhex2.0_20260430_221711.msh
[2026-04-30 22:17:11] [DEBUG   ] [physics.geometry] Création du domaine global et des assemblages...
[2026-04-30 22:17:11] [DEBUG   ] [physics.geometry] Lancement de la fragmentation booléenne (opération lourde)...
[2026-04-30 22:17:13] [DEBUG   ] [physics.geometry] Assignation des Groupes Physiques...
[2026-04-30 22:17:13] [INFO    ] [physics.geometry] Lancement du moteur de maillage 2D de Gmsh...
[2026-04-30 22:17:25] [INFO    ] [physics.geometry] Maillage généré et sauvegardé avec succès : /home/Bud0x/Documents/bachinge/BAC3/LEPL1110/project/Projet_ef/output/meshes/reactor_Rn12.0_Rhex2.0_20260430_221711.msh
[2026-04-30 22:17:40] [INFO    ] [utils.gui] Fichier de maillage sélectionné pour la simulation : /home/Bud0x/Documents/bachinge/BAC3/LEPL1110/project/Projet_ef/output/meshes/reactor_Rn25.0_Rhex2.0_20260429_183032.msh
[2026-04-30 22:17:40] [INFO    ] [core.solver] Démarrage de run_full_simulation sur : /home/Bud0x/Documents/bachinge/BAC3/LEPL1110/project/Projet_ef/output/meshes/reactor_Rn25.0_Rhex2.0_20260429_183032.msh
[2026-04-30 22:17:47] [DEBUG   ] [core.solver] Maillage chargé. Nombre de nœuds : 745875
[2026-04-30 22:17:47] [DEBUG   ] [core.solver] Extraction des données P1 FEM depuis le maillage...
[2026-04-30 22:18:00] [DEBUG   ] [core.solver] Extraction terminée pour 1491583 éléments triangulaires.
[2026-04-30 22:18:00] [DEBUG   ] [core.solver] Flux initial défini. Puissance initiale (intégrale) = 7458750.0
[2026-04-30 22:18:00] [INFO    ] [core.solver] Scénario PID: Cible = 70.0% -> Puissance absolue cible = 5221125.0
[2026-04-30 22:18:00] [INFO    ] [core.solver] Début de l'assemblage des matrices fixes...
[2026-04-30 22:18:00] [DEBUG   ] [physics.materials] Calcul des propriétés matériaux. rod_insertion=1.0
[2026-04-30 22:18:00] [DEBUG   ] [physics.materials] Utilisation du user_mapping: {'Fuel': 'Fuel_Uranium', 'Moderator': 'Water_Moderator', 'Reflector': 'Graphite_Moderator', 'ControlRods': 'Boral_ControlRod'}
[2026-04-30 22:18:00] [DEBUG   ] [physics.materials] Propriétés des matériaux appliquées avec succès sur tout le maillage.
[2026-04-30 22:18:00] [DEBUG   ] [core.assembly] Début de l'assemblage (Masse/Réaction) pour 1491583 éléments...
[2026-04-30 22:18:02] [DEBUG   ] [core.assembly] Assemblage terminé. Matrice creuse construite: taille (745875, 745875) avec 5220789 éléments non-nuls.
[2026-04-30 22:18:02] [DEBUG   ] [core.assembly] Début de l'assemblage de Rigidité (Diffusion) pour 1491583 éléments...
[2026-04-30 22:18:05] [DEBUG   ] [core.assembly] Assemblage de Rigidité terminé. Matrice creuse construite: taille (745875, 745875) avec 5220789 éléments non-nuls.
[2026-04-30 22:18:05] [DEBUG   ] [core.assembly] Début de l'assemblage (Masse/Réaction) pour 1491583 éléments...
[2026-04-30 22:18:06] [DEBUG   ] [core.assembly] Assemblage terminé. Matrice creuse construite: taille (745875, 745875) avec 5220789 éléments non-nuls.
[2026-04-30 22:18:06] [INFO    ] [core.solver] Assemblage des matrices M, K et R_init terminé.
[2026-04-30 22:18:06] [INFO    ] [core.solver] Démarrage de l'intégration temporelle dynamique...
[2026-04-30 22:18:06] [DEBUG   ] [core.time_integration] Initialisation du TimeIntegrator avec theta = 1.0
[2026-04-30 22:18:06] [INFO    ] [core.time_integration] Début de l'intégration temporelle : t=[0.0, 0.05], dt=0.00050, étapes=100
[2026-04-30 22:18:06] [INFO    ] [core.time_integration] Mouvement significatif des barres détecté (pos=0.0500). Re-calcul de la physique et factorisation LU...
[2026-04-30 22:18:06] [DEBUG   ] [physics.materials] Calcul des propriétés matériaux. rod_insertion=0.05
[2026-04-30 22:18:06] [DEBUG   ] [physics.materials] Utilisation du user_mapping: {'Fuel': 'Fuel_Uranium', 'Moderator': 'Water_Moderator', 'Reflector': 'Graphite_Moderator', 'ControlRods': 'Boral_ControlRod'}
[2026-04-30 22:18:06] [DEBUG   ] [physics.materials] Propriétés des matériaux appliquées avec succès sur tout le maillage.
[2026-04-30 22:18:06] [DEBUG   ] [core.assembly] Début de l'assemblage (Masse/Réaction) pour 1491583 éléments...
[2026-04-30 22:18:07] [DEBUG   ] [core.assembly] Assemblage terminé. Matrice creuse construite: taille (745875, 745875) avec 5220789 éléments non-nuls.
[2026-04-30 22:18:19] [INFO    ] [core.time_integration] Mouvement significatif des barres détecté (pos=0.0607). Re-calcul de la physique et factorisation LU...
[2026-04-30 22:18:19] [DEBUG   ] [physics.materials] Calcul des propriétés matériaux. rod_insertion=0.06070067262902919
[2026-04-30 22:18:19] [DEBUG   ] [physics.materials] Utilisation du user_mapping: {'Fuel': 'Fuel_Uranium', 'Moderator': 'Water_Moderator', 'Reflector': 'Graphite_Moderator', 'ControlRods': 'Boral_ControlRod'}
[2026-04-30 22:18:19] [DEBUG   ] [physics.materials] Propriétés des matériaux appliquées avec succès sur tout le maillage.
[2026-04-30 22:18:19] [DEBUG   ] [core.assembly] Début de l'assemblage (Masse/Réaction) pour 1491583 éléments...
[2026-04-30 22:18:20] [DEBUG   ] [core.assembly] Assemblage terminé. Matrice creuse construite: taille (745875, 745875) avec 5220789 éléments non-nuls.
[2026-04-30 22:18:33] [INFO    ] [core.time_integration] Mouvement significatif des barres détecté (pos=0.0719). Re-calcul de la physique et factorisation LU...
[2026-04-30 22:18:33] [DEBUG   ] [physics.materials] Calcul des propriétés matériaux. rod_insertion=0.07193732504326879
[2026-04-30 22:18:33] [DEBUG   ] [physics.materials] Utilisation du user_mapping: {'Fuel': 'Fuel_Uranium', 'Moderator': 'Water_Moderator', 'Reflector': 'Graphite_Moderator', 'ControlRods': 'Boral_ControlRod'}
[2026-04-30 22:18:33] [DEBUG   ] [physics.materials] Propriétés des matériaux appliquées avec succès sur tout le maillage.
[2026-04-30 22:18:33] [DEBUG   ] [core.assembly] Début de l'assemblage (Masse/Réaction) pour 1491583 éléments...
[2026-04-30 22:18:34] [DEBUG   ] [core.assembly] Assemblage terminé. Matrice creuse construite: taille (745875, 745875) avec 5220789 éléments non-nuls.
[2026-04-30 22:18:46] [INFO    ] [core.time_integration] Mouvement significatif des barres détecté (pos=0.0835). Re-calcul de la physique et factorisation LU...
[2026-04-30 22:18:46] [DEBUG   ] [physics.materials] Calcul des propriétés matériaux. rod_insertion=0.08354928819301054
[2026-04-30 22:18:46] [DEBUG   ] [physics.materials] Utilisation du user_mapping: {'Fuel': 'Fuel_Uranium', 'Moderator': 'Water_Moderator', 'Reflector': 'Graphite_Moderator', 'ControlRods': 'Boral_ControlRod'}
[2026-04-30 22:18:46] [DEBUG   ] [physics.materials] Propriétés des matériaux appliquées avec succès sur tout le maillage.
[2026-04-30 22:18:46] [DEBUG   ] [core.assembly] Début de l'assemblage (Masse/Réaction) pour 1491583 éléments...
[2026-04-30 22:18:47] [DEBUG   ] [core.assembly] Assemblage terminé. Matrice creuse construite: taille (745875, 745875) avec 5220789 éléments non-nuls.
[2026-04-30 22:18:59] [INFO    ] [core.time_integration] Mouvement significatif des barres détecté (pos=0.0955). Re-calcul de la physique et factorisation LU...
[2026-04-30 22:18:59] [DEBUG   ] [physics.materials] Calcul des propriétés matériaux. rod_insertion=0.0955012497654249
[2026-04-30 22:18:59] [DEBUG   ] [physics.materials] Utilisation du user_mapping: {'Fuel': 'Fuel_Uranium', 'Moderator': 'Water_Moderator', 'Reflector': 'Graphite_Moderator', 'ControlRods': 'Boral_ControlRod'}
